PLAYER,TEAM,AGE,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",BLK,BLKA,PF,PFD,
Danny Green,PHI,34,62,37,25,21.8,0.8,0.7,1.0,0.6,7.6,5.4,7.3,20.3,0.6,0.2,1.7,0.4,
Lindy Waters III,OKC,24,25,6,19,18.6,2.0,0.7,2.4,1.3,6.4,5.4,4.1,17.7,0.3,0.1,1.2,0.4,
Matt Thomas,CHI,27,40,23,17,11.5,0.5,0.3,0.2,0.1,3.3,2.5,3.1,12.8,0.1,0.1,0.5,0.4,
Wayne Ellington,LAL,34,43,15,28,18.8,0.9,0.3,0.7,0.7,6.5,5.3,5.8,19.7,0.1,0.1,1.0,0.4,
Skylar Mays,ATL,24,28,17,11,7.9,0.3,0.1,0.1,1.5,3.1,2.5,2.0,8.0,0.0,0.2,0.3,0.4,
Rodney Hood,LAC,29,52,30,22,13.6,0.4,0.4,0.4,0.7,4.3,4.1,3.3,12.8,0.1,0.0,0.6,0.4,
Payton Pritchard,BOS,24,71,46,25,14.1,1.1,0.4,0.8,1.0,4.9,4.1,3.8,13.0,0.1,0.2,0.9,0.4,
Charlie Brown Jr.,PHI,25,22,16,6,8.1,0.4,0.3,0.4,0.8,2.7,2.5,2.5,7.5,0.2,0.2,0.8,0.4,
Dylan Windler,CLE,25,50,28,22,9.2,0.3,0.3,0.2,0.6,3.4,2.7,2.1,8.9,0.1,0.1,0.9,0.4,
Ed Davis,CLE,32,31,15,16,6.5,0.1,0.4,0.0,0.7,2.5,1.4,1.6,4.8,0.3,0.0,1.1,0.4,
Jake Layman,MIN,28,34,20,14,6.8,0.4,0.4,0.6,1.2,2.3,2.1,1.6,6.1,0.1,0.1,0.4,0.4,
Javonte Smart,MIA,22,17,11,6,11.8,0.6,0.8,0.5,1.2,3.2,3.2,3.4,9.2,0.2,0.5,0.7,0.4,
Paul Reed,PHI,22,38,21,17,8.0,0.6,0.8,0.3,2.7,2.8,2.5,2.4,7.3,0.4,0.2,1.5,0.3,
Reggie Bullock,DAL,31,68,44,24,28.0,1.5,1.4,1.3,1.3,7.5,7.8,6.5,27.7,0.2,0.2,1.6,0.3,
Brodric Thomas,BOS,25,12,8,4,5.0,0.2,0.0,0.2,1.0,2.8,2.1,1.7,4.0,0.1,0.1,0.6,0.3,
Darren Collison,LAL,34,3,1,2,12.4,0.7,0.0,1.3,1.3,7.0,3.3,5.7,18.0,0.0,0.0,1.7,0.3,
Deividas Sirvydis,DET,21,3,1,2,8.9,0.0,0.0,0.0,0.0,1.3,3.0,2.7,10.7,0.3,0.3,1.3,0.3,
Emanuel Terry,PHX,25,3,2,1,6.1,0.0,0.0,0.0,0.0,6.0,1.7,2.0,9.3,0.0,0.0,1.3,0.3,
Isaac Bonga,TOR,22,15,9,6,4.6,0.2,0.1,0.1,0.3,1.1,1.8,0.7,3.9,0.1,0.1,0.7,0.3,
Isaiah Todd,WAS,20,12,1,11,6.2,0.3,0.0,0.4,0.3,1.8,1.7,2.4,6.2,0.2,0.3,0.3,0.3,
Jeff Dowtin,ORL,25,9,4,5,12.0,0.9,0.8,0.4,0.9,4.4,3.0,3.1,11.6,0.1,0.0,0.6,0.3,
Kai Jones,CHA,21,21,14,7,3.0,0.2,0.2,0.2,0.8,1.5,1.6,0.8,2.9,0.1,0.0,0.4,0.3,
Killian Tillie,MEM,24,36,27,9,12.8,0.5,0.9,0.3,0.7,3.8,2.6,3.9,12.1,0.4,0.3,1.6,0.3,
Luke Kornet,BOS,26,15,11,4,6.9,0.2,0.7,0.0,1.7,2.6,1.8,2.6,6.3,0.2,0.1,0.6,0.3,
Norvel Pelle,UTA,29,3,0,3,6.3,0.0,1.3,0.7,2.0,3.3,2.0,2.7,6.7,0.3,0.0,0.3,0.3,
Usman Garuba,HOU,20,24,2,22,10.0,0.2,0.6,0.2,1.2,3.4,2.8,2.3,10.8,0.5,0.3,1.2,0.3,
Miles McBride,NYK,21,40,19,21,9.3,0.5,0.1,0.3,0.6,2.4,2.1,1.1,7.6,0.0,0.1,1.1,0.3,
Jevon Carter,MIL,26,66,39,27,13.7,0.6,0.4,0.7,0.4,4.1,3.7,3.4,13.2,0.2,0.1,1.0,0.3,
Justin Champagnie,TOR,20,36,21,15,7.8,0.5,0.8,0.3,1.2,2.4,2.1,2.0,6.9,0.1,0.1,0.9,0.3,
Kelan Martin,BOS,26,30,14,16,15.0,0.6,0.7,0.8,2.2,5.0,4.4,3.8,15.9,0.3,0.3,1.2,0.3,
Mychal Mulder,MIA,27,17,3,14,14.1,1.0,0.6,0.2,0.7,3.5,4.1,2.5,11.8,0.1,0.4,0.8,0.3,
Davon Reed,DEN,26,48,29,19,13.9,0.6,0.4,0.4,1.3,4.9,3.3,3.5,13.7,0.2,0.1,1.3,0.3,
Jared Butler,UTA,21,42,31,11,8.6,0.6,0.2,0.4,1.1,3.5,3.0,1.9,8.9,0.2,0.1,1.1,0.3,
George King,DAL,28,4,2,2,4.8,0.0,0.0,0.0,0.0,4.3,3.3,2.5,7.0,0.0,0.3,1.0,0.3,
Jay Huff,LAL,24,4,0,4,5.1,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.0,0.3,0.0,0.3,0.3,
Robert Woodard II,SAS,22,12,0,12,3.5,0.0,0.0,0.2,0.2,1.1,1.0,0.9,2.5,0.1,0.2,0.3,0.3,
Yves Pons,MEM,23,12,9,3,5.9,0.0,0.3,0.2,0.3,2.5,2.5,1.8,6.5,0.3,0.1,0.5,0.3,
Sterling Brown,DAL,27,49,31,18,12.8,0.6,0.5,0.4,1.1,4.6,3.0,3.6,12.7,0.1,0.3,1.1,0.2,
Joe Wieskamp,SAS,22,29,11,18,7.1,0.3,0.4,0.2,0.3,1.8,1.8,1.3,6.4,0.1,0.1,0.5,0.2,
Gary Clark,NOP,27,38,20,18,10.0,0.1,0.1,0.3,0.3,3.4,3.5,1.6,9.1,0.2,0.2,0.5,0.2,
Petr Cornelie,DEN,26,13,3,10,2.9,0.3,0.2,0.0,0.6,0.9,0.8,1.0,3.1,0.1,0.1,0.5,0.2,
Jalen Johnson,ATL,20,22,14,8,5.5,0.5,0.2,0.4,1.7,1.6,1.8,1.4,5.4,0.1,0.1,0.4,0.2,
Didi Louzada,POR,22,9,0,9,14.4,1.7,0.2,0.7,0.2,6.4,6.2,5.2,15.8,0.2,0.3,1.4,0.2,
Haywood Highsmith,MIA,25,19,13,6,8.6,0.0,0.5,0.3,0.6,3.3,2.8,1.4,8.1,0.2,0.2,0.7,0.2,
Carlik Jones,DEN,24,5,3,2,4.7,0.0,0.4,0.0,0.4,2.8,2.2,0.8,5.2,0.0,0.0,0.0,0.2,
Willie Cauley-Stein,PHI,28,20,12,8,9.1,0.4,0.2,0.0,1.5,2.3,2.7,2.2,9.5,0.2,0.3,1.0,0.2,
Myles Powell,PHI,24,11,8,3,4.7,0.2,0.2,0.3,0.7,1.2,1.5,1.1,4.4,0.0,0.1,0.7,0.2,
Tony Snell,NOP,30,53,19,34,15.5,0.5,0.6,0.2,0.8,4.6,4.2,4.1,15.2,0.2,0.1,1.3,0.2,
Chandler Hutchison,PHX,26,6,4,2,3.7,0.0,0.0,0.0,0.3,1.3,1.0,1.0,4.0,0.0,0.0,0.2,0.2,
Keljin Blevins,POR,26,31,4,27,11.3,0.5,0.5,0.5,0.7,4.6,4.8,3.4,12.0,0.0,0.2,0.9,0.2,
Jamorko Pickett,DET,24,13,4,9,13.6,0.2,0.6,0.5,0.8,5.4,3.9,3.6,15.8,0.5,0.1,0.9,0.2,
Solomon Hill,ATL,31,13,7,6,10.7,0.0,0.2,0.0,0.2,3.2,1.5,1.8,9.2,0.2,0.1,1.2,0.2,
Bol Bol,ORL,22,14,5,9,5.8,0.6,0.1,0.7,1.7,2.6,1.0,1.9,4.3,0.1,0.1,0.3,0.1,
Joel Ayayi,WAS,22,7,1,6,2.9,0.0,0.0,0.0,0.3,0.6,0.9,0.6,2.0,0.0,0.3,0.0,0.1,
Justin Jackson,PHX,27,7,6,1,5.2,0.9,0.0,0.0,0.6,1.3,1.0,1.6,2.9,0.0,0.0,0.4,0.1,
Paul Watson,OKC,27,9,2,7,17.4,1.1,0.2,0.3,1.3,6.1,6.8,5.8,19.3,0.3,0.1,1.1,0.1,
Denzel Valentine,UTA,28,24,14,10,9.2,0.4,0.2,0.2,0.5,3.1,2.5,2.6,8.8,0.0,0.0,0.8,0.1,
Sharife Cooper,ATL,20,13,8,5,3.0,0.2,0.0,0.0,0.3,1.2,0.4,0.8,2.9,0.0,0.2,0.1,0.1,
Miye Oni,UTA,24,16,15,1,2.8,0.1,0.0,0.1,0.1,1.3,0.9,0.8,2.6,0.0,0.0,0.4,0.1,
Sam Hauser,BOS,24,26,20,6,6.1,0.2,0.2,0.2,0.3,2.1,2.0,2.0,5.9,0.1,0.0,0.3,0.0,
Aaron Henry,PHI,22,6,6,0,2.8,0.0,0.0,0.0,0.3,1.7,1.5,1.2,3.0,0.3,0.3,0.3,0.0,
Ade Murkey,SAC,24,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Ahmad Caver,IND,25,1,0,1,0.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Arnoldas Kulboka,CHA,24,2,2,0,2.7,0.0,0.0,0.0,0.0,1.0,2.5,0.0,5.0,0.0,0.0,0.5,0.0,
BJ Johnson,ORL,26,4,2,2,16.1,0.0,0.8,0.0,1.0,3.8,5.3,3.3,13.0,0.3,0.5,1.0,0.0,
CJ Miles,BOS,35,1,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,
Craig Sword,WAS,28,3,1,2,6.3,0.7,0.0,1.3,2.0,4.0,1.0,0.0,2.0,0.0,0.0,2.3,0.0,
DaQuan Jeffries,MEM,24,3,3,0,2.9,0.0,0.0,0.0,0.7,1.0,0.0,2.0,3.3,0.0,0.0,0.3,0.0,
Dakota Mathias,MEM,26,6,5,1,2.7,0.0,0.0,0.0,0.0,0.8,0.3,1.3,3.7,0.0,0.0,0.2,0.0,
Damyean Dotson,NYK,28,2,1,1,10.3,1.0,1.0,0.0,1.0,3.5,2.0,2.5,12.0,0.0,0.5,0.0,0.0,
David Johnson,TOR,21,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,
DeJon Jarreau,IND,24,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Feron Hunt,NYK,22,2,2,0,4.2,0.0,0.0,0.0,0.0,1.0,2.5,2.0,5.0,0.0,0.0,0.5,0.0,
Gabriel Deck,OKC,27,7,2,5,7.9,0.6,0.3,0.6,1.4,4.6,3.3,3.9,8.6,0.0,0.0,0.3,0.0,
JaQuori McLaughlin,DAL,24,4,2,2,2.7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.3,0.0,
Jaden Springer,PHI,19,2,2,0,2.8,0.0,1.0,0.0,1.0,1.5,1.0,2.5,5.0,1.0,0.0,0.0,0.0,
Jaime Echenique,WAS,25,1,1,0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarron Cumberland,POR,24,3,0,3,4.1,0.7,0.0,0.7,0.7,2.0,0.7,0.0,2.0,0.0,0.0,0.7,0.0,
Javin DeLaurier,MIL,24,1,1,0,2.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,
Jaysean Paige,DET,27,1,1,0,6.6,0.0,0.0,0.0,0.0,4.0,7.0,4.0,8.0,0.0,0.0,2.0,0.0,
Jemerrio Jones,LAL,27,2,0,2,7.4,2.0,1.0,0.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,
Joe Johnson,BOS,40,1,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Jon Teske,MEM,25,3,3,0,2.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.3,0.0,0.0,0.3,0.0,
Jordan Bell,CHI,27,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,
Jordan Goodwin,WAS,23,2,1,1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,
Juwan Morgan,BOS,25,2,1,1,15.5,0.0,0.0,0.0,1.0,9.5,6.0,1.0,15.0,0.0,0.0,1.5,0.0,
MJ Walker,PHX,24,2,1,1,4.2,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.5,0.5,0.0,
Malik Fitts,BOS,24,15,13,2,4.2,0.2,0.4,0.3,0.4,1.7,1.7,1.7,3.2,0.0,0.1,0.3,0.0,
Matt Mooney,NYK,27,1,1,0,1.9,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,
Matt Ryan,BOS,25,1,1,0,5.3,0.0,3.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,
McKinley Wright IV,MIN,23,5,3,2,3.8,0.0,0.0,0.0,0.4,1.0,0.8,0.8,5.2,0.0,0.0,0.2,0.0,
Nate Hinton,IND,22,2,0,2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rob Edwards,OKC,25,2,0,2,5.4,0.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,
Sam Dekker,TOR,28,1,1,0,0.9,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,
Scotty Hopson,OKC,32,1,0,1,17.7,0.0,0.0,0.0,0.0,5.0,6.0,2.0,16.0,0.0,0.0,1.0,0.0,
Shaq Buchanan,MEM,25,2,2,0,4.9,1.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,0.5,0.5,0.0,
Trayvon Palmer,DET,27,1,0,1,16.8,0.0,0.0,0.0,0.0,13.0,3.0,9.0,14.0,0.0,0.0,2.0,0.0,
Trevon Scott,CLE,25,2,1,1,5.7,1.0,1.0,0.0,3.0,2.0,2.0,1.0,5.0,0.5,0.0,1.0,0.0,
Tyler Hall,NYK,25,1,1,0,1.9,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,
Tyrell Terry,MEM,21,2,2,0,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.0,
Xavier Sneed,UTA,24,9,7,2,4.3,0.0,0.0,0.2,0.2,1.2,0.7,0.6,4.9,0.0,0.0,0.2,0.0,
Zylan Cheatham,UTA,26,1,0,1,5.2,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,
