PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Giannis Antetokounmpo,MIL,28,1,0,1,11.0,3,1,4,25.0,0,0,0.0,1,1,100,0,0,0,5,2,0,0,0,9,1,1,-14,
Grant Williams,BOS,24,1,1,0,0.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,
Grayson Allen,MIL,27,1,0,1,9.5,3,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,0,0,-12,
Harrison Barnes,SAC,30,1,0,1,6.5,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,4,
Immanuel Quickley,NYK,23,1,1,0,4.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,
Isaac Okoro,CLE,22,1,0,1,3.8,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,-2,
Isaiah Hartenstein,NYK,24,1,1,0,8.8,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,1,2,0,4,8,0,0,5,
Ja Morant,MEM,23,1,0,1,8.7,1,0,4,0.0,0,1,0.0,1,2,50.0,0,1,1,1,1,0,0,1,3,0,0,-3,
Jalen Brunson,NYK,26,1,1,0,12.0,8,3,6,50.0,2,3,66.7,0,0,0.0,0,1,1,2,0,0,0,1,12,0,0,7,
Jamal Murray,DEN,26,1,0,1,7.5,0,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,1,1,0,0,7,
Jaren Jackson Jr.,MEM,23,1,0,1,12.0,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,0,1,0,3,2,14,1,0,-2,
Jarrett Allen,CLE,25,1,0,1,11.1,4,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,3,0,0,-5,
Jaylen Brown,BOS,26,1,1,0,12.0,12,4,7,57.1,2,2,100,2,2,100,1,1,2,2,1,0,0,2,16,0,0,3,
Jayson Tatum,BOS,25,1,1,0,11.8,16,4,7,57.1,3,5,60.0,5,6,83.3,0,2,2,1,0,0,0,2,20,0,0,6,
Jimmy Butler,MIA,33,1,1,0,8.2,21,6,8,75.0,1,2,50.0,8,9,88.9,1,2,3,1,0,0,0,0,26,0,0,16,
Joe Ingles,MIL,35,1,0,1,0.2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,2,
John Collins,ATL,25,1,0,1,4.9,2,0,1,0.0,0,0,0.0,2,2,100,0,2,2,0,0,0,0,0,4,0,0,-1,
Jordan Poole,GSW,23,1,1,0,7.6,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,1,4,0,0,-7,
Josh Hart,NYK,28,1,1,0,8.3,8,3,4,75.0,0,1,0.0,2,2,100,2,1,3,1,1,0,0,0,12,0,0,5,
Jrue Holiday,MIL,32,1,0,1,11.0,3,1,6,16.7,1,4,25.0,0,0,0.0,0,0,0,0,1,0,0,3,2,0,0,-16,
Karl-Anthony Towns,MIN,27,1,1,0,12.0,3,1,5,20.0,0,2,0.0,1,1,100,0,4,4,0,0,0,1,2,11,1,0,-6,
Keegan Murray,SAC,22,1,0,1,8.8,3,1,3,33.3,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,1,7,0,0,11,
Kentavious Caldwell-Pope,DEN,30,1,0,1,9.6,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,1,1,1,10,0,0,8,
Kevin Huerter,SAC,24,1,0,1,3.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,6,0,0,7,
Kevin Love,MIA,34,1,1,0,0.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,
Kevon Looney,GSW,27,1,1,0,8.2,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,0,2,1,0,2,7,0,0,-9,
Khris Middleton,MIL,31,1,0,1,8.4,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,4,4,0,0,-16,
Klay Thompson,GSW,33,1,1,0,10.7,7,1,2,50.0,1,2,50.0,4,4,100,0,0,0,1,0,1,0,0,12,0,0,-2,
Kyle Lowry,MIA,37,1,1,0,12.0,4,2,3,66.7,0,0,0.0,0,0,0.0,0,3,3,2,2,1,1,0,15,0,0,16,
LeBron James,LAL,38,1,1,0,12.0,2,1,6,16.7,0,2,0.0,0,0,0.0,4,5,9,2,0,0,0,1,16,1,0,2,
Luke Kennard,MEM,26,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
Malcolm Brogdon,BOS,30,1,1,0,6.5,3,1,3,33.3,0,0,0.0,1,2,50.0,0,2,2,1,1,0,0,1,6,0,0,3,
Malik Monk,SAC,25,1,0,1,12.0,9,2,4,50.0,1,2,50.0,4,4,100,0,1,1,2,2,2,0,1,17,0,0,9,
Marcus Smart,BOS,29,1,1,0,6.2,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,1,0,0,-1,
Michael Porter Jr.,DEN,24,1,0,1,10.8,9,3,4,75.0,2,2,100,1,2,50.0,0,2,2,0,0,0,1,0,14,0,0,4,
Mike Conley,MIN,35,1,1,0,12.0,7,3,3,100,1,1,100,0,0,0.0,0,0,0,1,1,0,0,1,8,0,0,-6,
Mitchell Robinson,NYK,25,1,1,0,3.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,1,0,2,
Nickeil Alexander-Walker,MIN,24,1,1,0,9.4,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,2,0,0,0,-1,0,0,-3,
Nikola Jokic,DEN,28,1,0,1,9.6,8,3,4,75.0,1,1,100,1,2,50.0,0,1,1,2,0,1,0,0,15,1,0,8,
Obi Toppin,NYK,25,1,1,0,11.3,2,1,3,33.3,0,1,0.0,0,0,0.0,2,3,5,0,0,0,0,0,8,0,0,7,
Onyeka Okongwu,ATL,22,1,0,1,5.2,4,1,1,100,0,0,0.0,2,3,66.7,3,0,3,0,2,0,0,2,6,0,0,-5,
Pat Connaughton,MIL,30,1,0,1,8.1,5,1,3,33.3,0,2,0.0,3,4,75.0,1,3,4,1,0,1,0,1,14,0,0,-6,
Payton Pritchard,BOS,25,1,1,0,0.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,
RJ Barrett,NYK,22,1,1,0,12.0,10,4,7,57.1,0,3,0.0,2,3,66.7,0,1,1,0,0,0,0,1,11,0,0,7,
Robert Williams III,BOS,25,1,1,0,6.8,4,2,2,100,0,0,0.0,0,0,0.0,1,1,2,2,0,1,1,1,15,1,0,0,
Rudy Gobert,MIN,30,1,1,0,5.5,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,7,1,0,-6,
Rui Hachimura,LAL,25,1,1,0,7.2,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,3,0,0,2,
Saddiq Bey,ATL,24,1,0,1,5.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,
Stephen Curry,GSW,35,1,1,0,12.0,10,4,9,44.4,2,4,50.0,0,0,0.0,0,2,2,0,0,1,0,3,15,0,0,-9,
Taurean Prince,MIN,29,1,1,0,6.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
Trae Young,ATL,24,1,0,1,12.0,21,6,11,54.5,3,5,60.0,6,6,100,0,1,1,1,0,1,0,0,27,1,0,-3,
Troy Brown Jr.,LAL,23,1,1,0,2.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,
Tyus Jones,MEM,26,1,0,1,3.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,
Xavier Tillman,MEM,24,1,0,1,12.0,4,1,2,50.0,0,0,0.0,2,2,100,1,1,2,2,0,0,1,1,12,0,0,-2,
